Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C1 C5 C7 C9 C11,100nF,C_0402_1005Metric,5,~
2,"Unpolarized capacitor, small symbol",C_Small,C2 C3 C6,1uF,C_0402_1005Metric,3,~
3,"Unpolarized capacitor, small symbol",C_Small,C4 C8 C10 C12,10uF,C_0603_1608Metric,4,~
4,"Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x04_Odd_Even,J1,2842142-4,PinHeader_2x04_P2.00mm_Vertical_SMD_AMPMODU,1,~
5,"Digital MEMS Microphone, LGA-5",SPH0641LU4H-1,MK1,SPH0641LU4H-1,Knowles_LGA-5_3.5x2.65mm,1,https://www.knowles.com/docs/default-source/model-downloads/sph0641lu4h-1-revb.pdf
6,"Resistor, small symbol",R_Small,R1 R2,22R,R_0402_1005Metric,2,~
7,"Resistor, small symbol",R_Small,R3,10k,R_0603_1608Metric,1,~
8,,PCMD3180,U1,PCMD3180,QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm_ThermalVias,1,





Component Groups:,8
Component Count:,18
Fitted Components:,18
Number of PCBs:,1
Total components:,18
Schematic Version:,
Schematic Date:,
PCB Variant:,default
BoM Date:,Thu 28 Jan 2021 16:15:57 GMT
Schematic Source:,safeproject-mic-r1.kicad_sch
KiCad Version:,Eeschema 5.99.0-unknown-r24380-aab3c936
